Title,Year,Plot
Justice League: Invasion,(2020),"A nightmare has arrived, the Invasion is here. Darkseid of Apokolips has set to Earth after a Mother Box is opened. Earth's heroes are soon to bring justice against Darkseid's inevitable strength."
Little Treehouse Nursery Rhymes and Kids Songs: Non-Stop,(2018),Watch and sing along to this amazing compilation with your friends from the Little Treehouse.
Bajaja,(1950),"Bayaya, a young peasant, protected by the spirit of his dead mother, arrives at the castle of the King, where he entertains his three daughters. He soon realizes that the three princesses ... "
Veselé vánoce prejí chobotnice,(1987),Eva and her younger brother Johnny own two sentient octopuses made out of strange matter. Will their parents divorce and ruin Christmas? Will a scientist find a way to use their pets as fuel? Live action film with stop-motion octopuses.
Benyamin,(2019),Benyamin's mother is captured by the Pharaoh's soldiers and he decides to go save her. This makes him to enter a journey full of danger and adventures.
A Jewish Girl in Shanghai,(2010),"Shanghai, 1939. A sad violin tune plays throughout the city. Little Rina and her younger brother Mishalli have fled to Shanghai from Europe, waiting to be reunited with their parents."
Hanuman the Immortal 2,(2011),"The thrilling story of Hanuman's adventures with his disciples and a little girl Bindi, who accidentally falls into the forest of Vanars, Vanarvan. Vanarvan is under attack by the demon ... "
Black & White in Colors,(2012),Is reality a life long dream?
Gisaku,(2005),A spell transports a 17th-century samurai to modern-day Spain.
Ville Neuve,(2018),"On the coast of the Canadian Gaspé Peninsula one summer, Joseph has moved in with a friend, where he succeeds in getting his ex-wife to accompany him. Against the background of the fiery ... "
Animated Classic Showcase,(1993),"Animated Classic Showcase is a video series of fairy tale shorts from the Soviet Soyuzmultfilm studio and adapted for English speaking audiences by Film Roman in 1993. Episodes included: ""... "
Gekijouban Shakugan no Shana,(2007),"Wielding a blazing sword, Shana's sole purpose is to fight demon-like beings that consume human lives. During a volatile war to stop a foe from devouring every life in Misaki City, Shana ... "
Los viajes de Gulliver,(1983),Gulliver washes ashore on Brobdingnag and becomes an object of curiosity for its gigantic inhabitants.
The Waluigi Arc,(2018),"The often unwanted Waluigi uses his rejection to become a powerful villain, wanting revenge for all the times he has been rejected."
La leyenda del viento del Norte,(1992),"Atanasio attempts to liberate the powers of the mythical North Wind in Terranova while Watuna, Ane and Peiot, descendants of those who trapped the North Wind in a pot, try to defeat him before he achieves his purpose."
Archie and Zooey's Cool Facts: All About Penguins,(2021),Penguin explorers Archie and Zooey are on a thrilling mission to learn all they can about the coolest inhabitant of chilly places: the penguin. Archie and Zooey's Cool Facts: All About ... 
Xiao bai wu jin ji,(2000),"Three almost unconnected chapters that can be read either as separate stories or as three stages of a woman's life, this quietly moody drama effectively reflects on alienation and solitude within families and relationships."
Jigoku Sensei Nube: The Movie,(1996),"Kumiko Ijima is a very timid girl who happens to recognize a murderer still in pursuit at a park. With the help of her friend Kyoko Inaba, she warns the police about the wanted man. After ... "
Natsu e no tobira,(1981),"A club of young men who live by logic find themselves in love, and their lives fall apart as they try to cope with the emotions their romance strikes on them."
Bolívar: el héroe,(2003),"this film is based on the life of Simón Bolívar (a Latin American military and political leader who fought against Spanish colonial rule), with a very cartoonish style."
.hack//G.U. Trilogy,(2007),"After one of his friends falls into a coma playing an online game called The World, Haseo logs in to find the man responsible. But before he can unravel The World's many mysteries, he'll ... "
Chhota Bheem the Crown of Valhalla,(2013),Bheem and his friends are returning from the kingdom of Raunakpur when lightning strikes and they are caught in a sea-storm. Their ship 'Dholakpur Queen' is tossed and turned on the waves ... 
"Glup, una aventura sin desperdicio",(2004),"In this whimsical tale for children, a little girl finds herself in a strange land where her only hope of getting home lies in the hands of an eclectic group of newfound friends. After ... "
Ruddigore,(1966),"For centuries, the Murgatroyd family, the Baronets of Ruddigore, have been under a witch's curse -- commit a crime every day, or die in agony. Sir Ruthven Murgatroyd, the rightful heir, has... "
El mago de los sueños,(1966),"The Wizard of Dreams visits the house of the ""Telerin"" family, a group of 6 childs who just went to bed for sleep. His mission is to tell a dream for every kid when they are asleep, however...  "
CJ7: Super Q Team,(2015),"The film is a sequel of Stephen Chow's science and fiction comedy movie ""CJ7"" , tells the story of human Xiaodi Zhou and his cute pet Seven joined the interstellar commando, joint ... "
The Final Exit of the Disciples of Ascensia,(2019),The film depicts the beginning and end of UFO cult and the lives of the people around it.
The Trip to Panama,(2006),A tiger and a bear set of on their way to exotic Panama.
Barevný sen,(2020),What happens when a shot fired from a circus cannon goes astray
Homeless,(2019),"When the major financial crisis in history breaks out, a bunch of marginal bums confront the dictatorship of the last standing corporation, looking to reestablish the system which they ... "
The Toe Tactic,(2008),"Mona is nearly overwhelmed by grief and depression. After her father's death, she's cut herself off: leaving teaching - she now temps as an office assistant, ignoring her mother's calls, ... "
Kung Fu Masters 3,(2018),Hoffin gets trained to rescue his parents and take on Nian. He has to go on a quest to find the 12 sacred animals.
Ivan Tsarevitch and the Changing Princess: Four Enchanting Tales,(2016),"4 tales about princesses and adventurers around the World: The Mistress of Monsters, The Wizard Student, The Ship's Boy and his Female Cat, Ivan Tsarevitch and his changeable princess."
Fishtales 2,(2017),"When Fifi and her best friend Lily the whale get lost during a field trip to visit a sunken treasure ship, they embark on a incredible adventure to return home and reunite a lost sting ray with her parents."
Too Dead to Die,(2007),"A gang of low-rent mob goons plot a heist, only to be forced to confront radioactive evil from beyond the grave."
Sea Monsters 2,(2018),"The Monster Burping Contest is threatened for all underwater creatures, when vengeful Barf joins forces with the sea monster Big Snot, to kidnap beloved teacher, The Maestro, and his new ... "
Ra: Path of the Sun God,(1990),The first part of the film is given over to the Egyptian Genesis. The Egyptians had many gods and goddesses and creation myths. Ra brings these myths together in a single version and ... 
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,(2015),"In this film, an Aikatsu. All-Star awards ceremony will take place."
Titina,(2022),Two nobles and a lap dog on a dangerous quest to the North Pole.
Monster High: Scaremester Collection,(2014),"With extrascaricular activities like Fear Squad & dodgeskull, there's more to school than studying! Join the ghouls & mansters as they explore the howlways of Monster High!"
Battle of the Kings: Rostam & Sohrab,(2012),"Story of Rostam,king of Iran trying to save his land from enemies.But then he found himself fighting against Sohrab,his own son..."
Nazeikiru: Nennyo Shounin to Yozaki Enjou,(2016),"An anticlerical peasant in the Japan from the feudal era, after the death of his mother and his wife, ends up contributing to the spread of Buddhism throughout the country after hearing the lecture of a Buddhist monk."
Mangchi,(2003),"Mangchi is a young boy with few problems and an easy disposition. Living on a building in the middle of the sea, he flies around on his little flying bike looking for adventures and longs ... "
Cherub of Morrow,(2022),"To find who you are, you must give up who you were"
108 Rois-Démons,(2014),"In China, XII century, the 108 devils kings take the country under their control. While the empire is burning, the young prince Duan wants to bring the peace and kill the invasors."
Wave Twisters,(2001),"A crew of heroes, cleverly disguised as a team of oral hygenists, is determined to save the lost arts of Hip Hop (B-boying, Graffiti, MCing, and of course, Skratching) from total extinction... "
"Tales of the First People, Vol I: Spirit Tales",(2016),A collection of Aboriginal creation myths from the creators of the multiple-award-winning Raven Tales television series.
Robot Taekwon V,(1976),Robot Taekwon is a Robot that was built by a super-heroic team so it could help them fight monsters that have been destroying the world. So it's up to Robot Taekwon and some heroes to become saviours of the world.
Pixi Saves Christmas,(2018),"For hundreds of years, holiday genies have united to bring Christmas magic to the children of the world. However, this year a selfish ex-genie is determined to become the all-powerful ... "
Bloodsuckers Handbook,(2012),A priest is recruited by federal marshals to help deal with a vampire they've taken into custody. Then things get weird.
Shisha no sho,(2005),"The story takes place as Buddhism is being introduced to Japan from China. Iratsume, a woman of noble descent, one night sees a luminous vision that she believes to be the Buddha, ... "
White Plastic Sky,(2022),"A young couple living in a barren, post-apocalyptic Budapest in the year 2220, struggle for food and life."
Turkey Day,(2020),"When the devious Count Dracula uses his powers to hypnotize Turk the Thanksgiving turkey to officially cancel his big day, Turk does as commanded and announces the end of the world's ... "
Space Warriors Baldios,(1981),"From a polluted and destroyed planet called S-1 arrives an invasion on earth, Marin one of the people of S-1 helps the earthlings fighting the invaders with his super ship Baldios. After ... "
Lava Kusa: The Warrior Twins,(2010),Lava and Kusa were born to mother Sita at Sage Valmiki's hermitage. They grew up learning the essence of Ramayana and master the art of war by using divine weapons from the guidance of Sage... 
Horseplay,(2017),"Follow Scout and Axle on a fun-flying adventure across the globe to learn all there is to know about the most fascinating animal on earth, Horses! When Barney Owl wants to discover more ... "
Star Trek: The Paradise Makers,(2017),"Kirk and his crew are sent to investigate the disappearance of the USS Bowfin, a survey vessel assigned to study the tropical paradise world of Ka'apuoku Lono 4. One solved piece to the ... "
Apo ti Gi sti Selini,(2013),"In America, 100 years before the moon landing of Apollo 11, the bellicose bemoan their fates because the federal War is over and they all have fallen into inaction. They are reminiscent of ... "
Kuru Kuru and Friends: The Rainbow Tree Forest,(2015),The movie takes place between Seasons 1 and 2. The Green Forest Village hosts a festival in celebration of the 1000th anniversary of the large tree growing in the middle of the village. ... 
Dance!,(2018),"Join Kibit and his friends as they dance to kids' favorite sing-a-longs like Old MacDonald, She'll Be Coming 'Round the Mountain, and Twinkle Twinkle. Kids of all ages will love to dance ... "
A Minecraft Ninja Turtle Movie,(2016),Little RoPo and The MineVengers team up with the Ninja Turtles in order to stop the evil forces that are putting the world in danger.
Przygody blekitnego rycerzyka,(1984),"A protagonist of fairy-tale is a spirit of colors, blue elf is a brave noble creature. He rescues from faithful death of Page, being taken prisoner to Hornet. For this exploit a Queen dedicates him in knights."
Eiga Chibi Maruko-chan: Itaria kara kita shounen,(2015),"Hanawa's home had six friends come from different countries, under the request of the students, these foreign friends admitted Chibi Maruko and other student's home. Andrea from Italy, who ... "
Cyborg 009: Legend of the Super Galaxy,(1980),After years of beating Black Ghost all the 00 Cyborgs have moved ob with their lives going to their home country to persue a career they wanted to do. Dr. Gilmore and 001 have been living ... 
Hans and the Silver Skates,(1991),"After Hans and Gretel rescue a rich lady's dog after the dog falls through the ice, she rewards them each with a new pair of skates."
Kleiner Dodo,(2008),Cute orangutan Dodo loves sounds and imitates them. One day he finds a mysterious thing.
Memorias de un hombre en pijama,(2018),"This is the story of Paco, a 40-year-old, confirmed bachelor who, in the prime of his life, realizes a childhood dream: to work at home in his pajamas. Just when he's reached the zenith of ... "
Gene-Fusion,(2011),"In 2310, a new sport, Gene-Fusion, is all the rage. In this exciting game, specially-trained athletes, called Fusers, design their own super-creature by combining three forms of animal DNA. It is here that gladiators are made not born."
Verdenshistorien 1. del: En plads på jorden,(1993),The animated history of the world part 1.
Valor's Kids,(2011),"It is the time after wizards and mythical beasts have faded away but legends still carry their tales. Wars have brought borders to kingdoms, as well as unrest to those without."
Tales of Siva 2,(2009),The movie revolves around a grandmother who sheds light on few stories of lord Shiva to her naughty grandchildren. The movie begins with the tale of the great grand wedding of Shiva and ... 
The Grand Night,(2022),"The film revolves around a little girl, Laila, and her passion for her grandfather's stories. After being bullied by her schoolmates, Laila escapes to a fictional world through the ""... "
Kyaputen tsubasa ayaushi! Zen'nihon Jr,(1985),Tsubasa and his team face off in a return match against the All Europe Soccer Team.
Chhota Bheem Neeli Pahaadi,(2013),"The kids are excited, as they have all planned a trip to the Neeli Pahadi right on the borders of Dholakpur. The Neeli Pahadi has always been an uneasy reality of Dholakpur with rumours of ... "
Eneida,(1991),"A mock-heroic 1798 poem Eneida is magnum opus of the first modern Ukrainian writer Ivan Kotliarevsky. It's a parody of Virgil's Aeneid, where Kotlyarevsky transformed the Trojan heroes into Ukrainian Cossacks."
Ghost Aliens,(2015),"Daniel is confronted by an Indian, followed by many Office Paranormals', then a retired US General whom proclaims the end of the World is today. Later that day everyone in the Office has an encounter of a real Alien, that has turned into a ghost with Un-Godly Powers, set to destroy planet earth. Can Daniel Save the Human race?"
Spalicek,(1947),Puppet animation feature consisting of different segments related to the traditions and emotions of the seasons as a typical year passes among the Czech people.
"Anpanman: Purun, the Soap Bubble",(2021),"Purun struggles to find the confidence to perform in the bubble flute show while Anpanman must help her rid the palace of Baikinman's evil bubbles. Meanwhile Baikinman, Horror, and Dokin ... "
Riki Rhino,(2020),"A young Sumatran rhinoceros called Riki has his horn stolen by the horrible poacher Mr Jak. To get his horn back, Riki embarks on an exciting adventure through the rainforest with his ... "
Magos y gigantes,(2003),"Magos y Gigantes tells the story of Gigante, a vertically challenged giant, Ada, a fairy who's wings have yet to blossom and Trafalgar, a curious looking little wizard and their adventures ... "
A Dog's Life,(2017),"The film consists of four stories about four different dogs and their owners' lives, reflecting love, life and departure."
Lajka,(2017),"Life is not easy for Laika, a dog on the outskirts of a big Russian city. She is caught and forcibly retrained to become a pioneer in astronautics. Soon after her lift-off into space, a ... "
Thomas & Friends: Digs & Discoveries,(2019),While working in Italy Thomas wants to make exciting discoveries while Jack and the Pack help with building a new museum
Mac and Trouble,(2021),"Two cartoon cats, Mac and Trouble, enter the real world and get mixed up in cosmic adventures including battles with superheroes and a zombie war with the Graveyard King."
The Seven Ravens,(1937),"A young girl's seven brothers have been turned into ravens, so she sets out to save them."
Bruchko,(2017),The adventures of Bruce Olson as he sets out to Christianize the tribe of Motilone Indians in South America.
"Wake Up, Girls! 7 Nin No Idol the Movie",(2014),"Green Leaves Entertainment is in the worst situation any Talent Management Agency can be in - they have NO talent. Desperate for an act, President Junko Tange targets the idol singer market... "
O' Faby,(1993),"A man struggles with the daily issues in his life. The situation changes when he befriends Faby, who helps him in solving all the problems."
La danza de las fieras,(2017),6 different views on the world of human trafficking in México.
Dragon Guardians,(2013),"Something spooky is happening in Dragon Hill, and a sudden change in climate has plunged the land into a deep freeze. The fate of the forest rests in the hands of its protector, a little elf named Robin, and his misfit dragon companions."
Shoujo Kageki Revue Starlight: Rondo Rondo Rondo,(2020),"A feature-length recap of Shoujo Kageki Revue Starlight (2018), presented with unseen extra footage and told from Nana's perspective of events."
Alephia 2053,(2021),"Alephia 2053 is a story about three individuals in a race against time, and each other, to deal with the source of a cyberattack that has infiltrated the most secure surveillance systems of the most authoritarian regime in history."
Gekijô-ban Nirusu no fushigi na tabi,(1982),Farmboy Nils is lazy and disrespectful to his fellow man and enjoys abusing animals in his spare time. A magical creature shrinks Nils so he becomes much smaller than the animals who are out for revenge against him.
Babka Yozhka i drugiye,(2008),"A little girl got lost in a dense forest by accident, where she was found by Baba Yaga. She, along with other fairy-tale characters - Kikimora, Leschyi, Koschei the Deathless and Vodyanoy -... "
Hitomi no Naka no Shonen: Jugo Shonen Hyoryuki,(1987),"Cast ashore on a desert island after a fierce ocean storm, fifteen school boys find their lives changed forever. Who cut the lines that sent their ship to sea with no captain or crew ? Why ... "
Majokko shimai no Yoyo to Nene,(2013),"This is a thrilling, magical and colorful movie about the adventures of two witches who embark on an adventure to save our world from dark magic, also known as curses."
Makoto-chan,(1980),The film follows the odd life of Kindergartener Makoto Sawada and his family.
The Hard Time Zoo,(2021),"A meteorite strike alters the intelligence of all the earth's land-bound animals giving them the ability to THINK and SPEAK as humans. World governments react by forcing the animals into a special facility that the PUBLIC believes to be are animal detainment centers called ""ZOOs""."
Dollhouse: The Eradication of Female Subjectivity from American Popular Culture,(2018),"The disturbingly entertaining feature debut of director Nicole Brending, DOLLHOUSE: THE ERADICATION OF FEMALE SUBJECTIVITY FROM AMERICAN POPULAR CULTURE charts the rise and fall of ... "
Beertje Sebastiaan: De geheime Opdracht,(1991),"From the farthest reaches of the galaxy comes the magical, mystical, brilliantly animated adventures of Sebastian Star Bear who lives in the Great Bear Constellation. Called to Earth from a... "
Evliya Çelebi ve Ölümsüzlük Suyu,(2014),"One day, Explorer Evliya Celebi drinks the youth elixir with his best friend Goose, to live long enough to travel all around the world. However, when the bad queen learns it, she punishes ... "
Ogú y Mampato en Rapa Nui,(2002),"Mampato, a little boy with a time-travelling belt, goes with his caveman friend Ogú to the ancient land of Rapa Nui on Easter Island. There they will meet a little girl name Marama and discover the old traditions of the natives."
Space Babies,(2019),"With the galaxy in turmoil, an elite team of outer space rogues to pledge alliance to cosmic justice and galactic peace! Welcome boys and girls to to a thrilling era of high adventure!"
Dave of the Dead,(2020),"Zombie Dave has worked the fly-thru window at Spacejack's intergalactic fast food restaurant for ten years, and he's seen it all until Count Dracula stiffs Spacejack's on a bill, leaving Dave on the hook for eight space bucks."
Chhota Bheem Aur Chhalchhaaya,(2014),"The kids decide to meet Dhuni Baba. The spot is a magical portal from which King Vyom of a magical world named Dhwani arrives. As he was strolling in the forest, his astra is stolen. The ... "
Sagu & Pagu: Büyük Define,(2017),"Once upon a time, there was a foliage where all the creatures lived happily together. Now, it has become a drought - The creatures in the area have suffered from thirst and starvation for a... "
Fimfárum Jana Wericha,(2002),A farmer who takes to drink and meets the devil; a young boy who has to spend the night in a haunted pub; a man who grows horns overnight; a man who bets and argues with his wife; and a ... 
Peppa Pig: Flying a Kite and Other Stories,(2012),"Kids will love watching these 10 fun-filled episodes featuring, Flying a Kite, My Cousin Chloe, Daddy Loses His Glasses, Hiccups, Picnic, Mummy Pig's Birthday, Dressing Up, The School Fete, Musical Instruments, and Babysitting."
Exaella,(2011),"Having completely exhausted resources of the planet, millions of people were placed in automated underground complexes of ""artificial sleep and life support"". And few of them were awakened."
Imagination,(2007),"Dr. Reineger is a child neuro-psychologist who has become confident that the twin Anna has a form of autism called Asperger's Syndrome, rendering her unable to cope with reality. As for her... "
Cara sucia,(2019),"A group of children come together to fight the predatory machines that threaten the nature around them. To do this, they must transform themselves into cartoons and defeat an ambitious witch."
Chhota Bheem Ki Baazi,(2014),Bheem and his friends have been leading an idyllic life without any villains to fight. Suddenly King Indraverma receives dubious reports about the annexation of the neighboring kingdoms of ... 
Petit Potam,(2001),"Petit Potam lives in the village of Barbotam on an island in the Potamazone river. The village's activities revolve around the river and Pa Potam plays a very important role there: driver of the boat-train, he distributes provisions, mail."
Taxi Driver Gion Taro: Subete no kuzuyaro ni sasagu,(2014),"Taxi driver Gion Taro falls in love with one of his female passengers. When he learns that she is a famous actress shooting a film in his beloved hometown Kyoto, he doesn't hesitate for a ... "
Gekijo-ban Tiger & Bunny -The Rising,(2012),"Set on an alternative Earth, superheroes are celebrities and a high rating TV show rates their achievements, awarding them points until an annual King of Heroes is crowned. Old-school hero ... "
"Fontanarrosa, lo que se dice un ídolo",(2017),Six Rosario film directors filmed six stories by Roberto Fontanarrosa; one of the most outstanding and representative talents not only of the city of Rosario but of the Argentine and Latin American culture.
Magical Girl Lyrical Nanoha: Reflection,(2017),"While Nanoha attends 5th grade, a planet is slowly dying."
"Osmar, the First Slice of the Loaf: The Movie",(2019),"A first slice of a loaf of bread arrives in the big city trying to get fame and overcome the fact that it was left on the packaging. Between fermented egos artists and audience disputes, ... "
Ari-Baba to yonjuppiki no tozoku,(1971),A peasant boy and 38 cats band against the tyrannical Ali Baba the 33rd and his cat-phobic genie.
Fishtales,(2018),"Fifi and Lily are back for more fun and another amazing underwater adventure in fishtale reef. Join Trigger the seahorse, Kiki the pufferfish and their favorite teacher Professor Shark as they travel to locations under the sea."
Junkers Come Here,(1995),The movie is about a girl named Hiromi Nozawa and her dog Junkers. Hiromi is having troubles at home mainly because her parents wanting to separate. Junkers tries to comfort her in ways no other dog can. He can talk and grant her 3 wishes.
Æblet & ormen,(2009),"an apple gets a worm in him and goes on a long journey to her outta him, on the way they find strange people (fruit?) and weird places as they get to know each other."
The Magic Brush,(2014),"Ma Liang's brush makes whatever he paints come alive, which makes him the target of a power-hungry general."
Der kleine Medicus - Geheimnisvolle Mission im Körper,(2014),Nano and Lily turn to Rappel the Rabbit to navigate a maze and stop a mysterious illness.
Super Atragon,(1995),"In 1932, the Japanese Army investigates a mysterious meteorite crash in Manchuria, and discovers a strange material that produces a previously unknown kind of energy. The mineral is later ... "
Wool 100%,(2006),A pair of elderly junk collectors find their lives turned upside down when their latest procurement brings them into contact with an obsessive young knitter in the hallucinogenic feature debut of prominent short filmmaker Mai Tominaga.
Gekijouban Makurosu F: Itsuwari no utahime,(2009),"The galaxy songstress Sheryl Nome, Ranka Lee, Alto Saotome and friends are traveling space along with the New Macross class ship -Macross Frontier- that contains 10 million citizens in ... "
Ogre,(2019),"Across the kingdom, little trolls Cupcake and Leaf decide to petition the King to recognize Trolls Friends Day, a new holiday honoring all the trolls and their pals. Navigating a vast land ... "
Wielka podróz Bolka i Lolka,(1977),Bolek and Lolek race around the world facing danger to win a wager with Lord Fogg.
Assassin,(2017),A rogue Assassin attempts to sieze power by trying to obtain a briefcase that contains either the key to unlimited power or a deadly force that will bring the world to its knees. All that ... 
Paird,(2019),"A man wakes up in an alley, with no memory of who he is or how he got there. He's soon picked up by the police, because they have reason to believe he's one of the people behind PAIRD, ... "
The Adventures of Sinbad,(2013),The Adventures of Sinbad is a 2D animated movie in which we are going to experience the complete action and adventure of Sinbad(12 year old boy) and his friends. The little sailor of legend... 
Mr Rossi's Vacation,(1976),Mr. Rossi is a cartoon character of the Italian cartoonist Bruno Bozzetto.
Black Tulip,(1988),"When a 100,000-guilder contest is announced in 1800s Holland, Cornelius sets about to grow one to win the prize. However, at the same time, the local alchemist, Bochstel, is trying to cast ... "
Monster Class: Bigfoot vs the Giant Squid,(2021),Join Monster Class teacher extraordinaire Count Dracula as he unveils two of the most amazing monster legend to ever haunt our nightmares. It's Monster Class Bigfoot Vs The Giant Squid.
Shock Invasion,(2010),"In one night, a red flash fills the planet's sky, instantly paralyzing mankind into a bloody feast for the alien invaders. But there is hope, as Ral Foster wakes up to find himself ... "
Humpty Dumpty & More Kids Videos (Bob the Train),(2019),"Do you kids know what happened to Humpty Dumpty when he sat on the wall? Learn this classic nursery rhyme with your friend Bob The Train, plus many other fun songs and dances."
High School! Kimengumi,(1986),"Three additional adventures for the Kimengumi and friends. In the first episode, the boys fail their exams right before summer vacation and have to take supplementary lessons. The second ... "
"Wood & Stock: Sexo, Orégano e Rock'n'Roll",(2006),"The story of two die-hard hippies, trying to live on today's world."
Une fée... pas comme les autres,(1956),"During the annual fair in the animal village of Champfleury, a good fairy's magic wand is stolen from its caretaker, Chassidou (a white Persian cat), by the wicked Black Genie (a monkey). ... "
Les aventures extraordinaires de Michel Strogoff,(2004),"In Russia, the Tartars invade Siberia, devastating villages and sowing terror among the populations. The Tsar sent Michael Strogoff 5,000 kilometers from Moscow to warn the Grand Duke of the imminent danger in Irkutsk."
Atlantis Untold,(2019),"Atlantis Untold is the story of an unexpected journey by brother and sister Jack and Skye Noble, who are forced by circumstances to try to conquer the opposing forces of an inner world. ... "
Forevers 2: Age of Teeth,(2021),"After making peace with the Forevers, things change for everyone as the Repigeonator discovers Iki's secret multiverse."
Agaton Sax och Byköpings gästabud,(1976),"Two villains escape from jail in London. They are planning an attack on Agaton Sax. Inspector Lispington and Sax are chasing the two bad guys, but the hunt is hampered by the villains have lookalikes."
La revolución de Juan Escopeta,(2011),"After a personal tragedy, a young boy joins a legendary gunslinger on an epic quest across Mexico during the Revolution."
Maria si Mirabella in Tranzistoria,(1989),"The continuation of the adventures of Maria and Mirabella, in which the two girls get lost in a fabulous world inside a television set."
Spaced Cats,(2020),"Meet the Spaced Cats, two cannabis-craving cats on a mission to cop the best weed in the galaxy. This crew is higher than outer space itself and it's going to take help from all the wrong ... "
A Cidade dos Piratas,(2018),"Inspired by the famous comics of cartoonist Laerte. The story merges the transition journey of the artist and the director, who faces death after being diagnosed with cancer."
Gosuto Suipa Mikami - Gokuraku Daisuken!,(1994),A exorcist must destroy a demon before it's too late.
Romeo and Juliet,(2013),"In this animated version of Shakespeare's classic play, Romeo and Juliet's fateful lives are changed forever after they marry each other in a whirlwind of romance against the wishes of their feuding families."
El armario del tiempo,(1971),"Collection of the following 7 short films from the series 'Mortadelo y Filemón, agencia de información': 'El armario del tiempo', 'En Waterloo', 'El Yeti', 'Misión increíble', 'Los ... "
Dot and the Smugglers,(1987),"Dot and her friends attempt to foil the plans of an evil circus owner, who is capturing wildlife and selling it on the black market."
Xi Yang Yang Yu Hui Tai Lang Zhi Niu Qi Chong Tian,(2009),"Inside Granny Snail there is a biological war between two bacterial kingdoms, the Black Ox and the White Ox. In order to save their friend, Pleasant Goat and his friends shrink themselves ... "
Oakie's Outback Adventures,(2011),"While adventuring through the outback, Oakie befriends Action Terry, a weird fella for sure. Action Terry hangs out with Action Dann and they twist their foreskin with one another."
Putih,(2001),"Based on a popular Nusantara folklore entitled ""Bawang Merah dan Bawang Putih"", Putih (2001) follows the hardships and life of a kind hearted girl named Putih. With her mother, they are ... "
China Town,(2009),"Follows copper production from an open pit mine in Ruth, Nevada to a smelter in Tongling, China, where the semi-refined ore is sent to be processed and refined."
The 19th Annual Animation Show of Shows,(2017),"The Animation Show of Shows returns to theaters across North America this fall, presenting 16 exceptional and inspiring animated shorts from around the world. At a time of increasing social... "
Apocalypsis,(2018),"Set in a parallel universe entering a black hole, a woman reading the book of Revelation has visions of regeneration during Anthropocene."
Man and Cat,(2001),"Man (David Kaye) who loves Cat (Parley Baer) and Dog (Sam Elliott) similar on Soviet Cartoon in 1978 to 1984 Prostokvashyno, Could Help Catched by Hunter (David Hemblen) May be Defeat Hunter?"
A Yeti Stole Christmas,(2018),"When Arvid, the most malevolent yeti in all of the North Pole has come in possession of the powerful Master Scroll of The Naughty Children, he enlists the scroll's powers to banish Santa, ... "
VeggieTales: The Princess and the Popstar,(2012),"Princess Poppyseed's life on her family's farm is far from the glamorous but lonely world of her favorite pop singer Vanna Banana. On a chance meeting at a playground, Vanna and Princess ... "
The Legend of Joan of Arc,(2019),A young girl receives a divine vision that drives her to rid France of its oppressors.
Tom and Jerry: Paws for a Holiday,(2003),"A holiday-themed collection of episodes, including: ""Mice Follies"", ""Designs on Jerry"", ""The Tom and Jerry Cartoon Kit"", ""Snowbody Loves Me"", ""I'm Just Wild About Jerry"", ""The A-Tom-inable Snowman"", and ""Advance and Be Mechanized""."
Hodge and the Lost Easter Egg,(2021),"Always in the shadow of his brother the Easter Bunny, Hodge must find a way to recover a powerful egg that holds all the magic of the holiday."
Fresh Precure!,(2009),"Love Momozono,a second-year student, goes to see a dance concert called Trinity and is impressed. However, the appearance of a Nakewameke made the concert becomes a disaster but, Love becomes a Legendary Precure to stop it."
Dobrý voják Svejk,(1954),"Adapting Jaroslav Hasek's raucous satirical novel, and also bringing Josef Lada's equally famous illustrations to garrulous puppet life, posed Trnka one of his biggest creative challenges. ... "
"Aliens, Flamingos & Ecstasy",(2019),"Simply put, 6 eclectic and diverse animation styles present some surprisingly adult little vignettes that, in theory, add up to a film. An apparent festival favorite."
Guitar Picks & Roach Clips,(1977),"A kaleidoscope of images and colors, flashes of real-life scenes and animated art work, all set to music. There is no plot. The thread that holds this full-length feature together is an ... "
Zéro un,(2003),A compilation of ten short films produced by Luc Besson.
Punky Brewster: More for Your Punky,(1985),"Join the fun with Punky and her pals Cherie, Margaux and Allen, her guardian Henry, her cuddly dog Brandon and a very special secret friend called Glomer. Glomer is no ordinary creature. ... "
Kidô senshi Gandamu: Dai 08 MS shôtai - Mirâzu ripôto,(1998),"In a future war, a young battle robot pilot suspected of being a spy must face court martial. Meanwhile, the home village of a friend of his is threatened by enemy forces."
Revenge of the Humanoids,(1983),The robotic alien villains from Il était une fois... l'espace (1982) attack Earth.
Roxelana,(2021),"When the immortal spirit of his evil uncle is unleashed, Sultan Suleiman and a Ukrainian girl Nastya, who was abducted from her home and forced into his Harem (were she was named Roxelana),... "
A Treasure on Bird Island,(1952),"People living on an island finds a treasure, but it does not only do them good."
The Baby Smurf,(1984),The night of the blue moon brought to the Smurfs a strange present: an adorable baby. A baby Smurf.
Trippel Trappel Dierensinterklaas,(2014),Three young pets set out to find Saint Nicolas to hand over their wish list with presents.
Egon & Dönci,(2007),"Egon and Dönci are two lonely inhabitants on a distant solar-system's tiny planetary. Egon is an amateur ""space-exploratory"" trying to seem very moderate, but his deeds are dogged by ... "
Simba Junior Goes to New York,(1997),"Winner the dog is kidnapped and taken to New York City by a woman who thinks he is lost in the Jungle. But thanks to Arbor, the tree, Simba Jr. and the other friends manage to follow ... "
